source_country_iso3,source_country_name,market_segment,period,year,month,horizon,predicted_arrivals,actual_arrivals,split_type,forecast_assumption,coverage_scope
PAK,Pakistan,Non-ASEAN,2026-06-01,2026,6,1,11750.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
PAK,Pakistan,Non-ASEAN,2026-07-01,2026,7,2,9207.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
PAK,Pakistan,Non-ASEAN,2026-08-01,2026,8,3,9847.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
PAK,Pakistan,Non-ASEAN,2026-09-01,2026,9,4,11688.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
PHL,Philippines,ASEAN,2026-06-01,2026,6,1,35516.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
PHL,Philippines,ASEAN,2026-07-01,2026,7,2,36055.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
PHL,Philippines,ASEAN,2026-08-01,2026,8,3,36811.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
PHL,Philippines,ASEAN,2026-09-01,2026,9,4,36692.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
SGP,Singapore,ASEAN,2026-06-01,2026,6,1,994700.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
SGP,Singapore,ASEAN,2026-07-01,2026,7,2,916132.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
SGP,Singapore,ASEAN,2026-08-01,2026,8,3,788309.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
SGP,Singapore,ASEAN,2026-09-01,2026,9,4,772076.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
THA,Thailand,ASEAN,2026-06-01,2026,6,1,134150.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
THA,Thailand,ASEAN,2026-07-01,2026,7,2,134745.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
THA,Thailand,ASEAN,2026-08-01,2026,8,3,151410.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
THA,Thailand,ASEAN,2026-09-01,2026,9,4,148934.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
TWN,Taiwan,Non-ASEAN,2026-06-01,2026,6,1,31834.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
TWN,Taiwan,Non-ASEAN,2026-07-01,2026,7,2,45184.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
TWN,Taiwan,Non-ASEAN,2026-08-01,2026,8,3,35814.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
TWN,Taiwan,Non-ASEAN,2026-09-01,2026,9,4,34786.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
USA,United States,Non-ASEAN,2026-06-01,2026,6,1,21800.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
USA,United States,Non-ASEAN,2026-07-01,2026,7,2,20441.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
USA,United States,Non-ASEAN,2026-08-01,2026,8,3,21057.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
USA,United States,Non-ASEAN,2026-09-01,2026,9,4,19936.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
VNM,Vietnam,ASEAN,2026-06-01,2026,6,1,25441.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
VNM,Vietnam,ASEAN,2026-07-01,2026,7,2,24003.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
VNM,Vietnam,ASEAN,2026-08-01,2026,8,3,23848.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
VNM,Vietnam,ASEAN,2026-09-01,2026,9,4,22047.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
